BHID,FROM,TO,THICKNESS,Cu%
MHCM01,78.35,83.75,5.4,0.23
MHCM01,93.75,98.75,5,0.22
MHCM02,63.5,66.5,3,0.23
MHCM03,126.2,136.86,10.66,0.42
MHCM03,139.7,155.75,16.05,0.3
MHCM04,145.9,148.6,2.7,0.37
MHCM04,156,158,2,0.22
MHCM06,164.92,168,3.08,0.43
MHCM06,187.9,192.8,4.9,1.2
MHCM08,140.5,144,3.5,0.23
MHCM09,132.8,140.5,7.7,0.25
MHCM09,143.8,147.5,3.7,0.2
MHCM14,82.2,85.5,3.3,0.26
MHCM15,241,259,18,0.6
MNJ001,127.30,128.30,1.00,0.073
MNJ001,128.30,129.30,1.00,0.053
MNJ001,131.30,132.30,1.00,0.037
MNJ001,132.30,133.30,1.00,0.034
MNJ001,133.30,134.30,1.00,0.005
MNJ001,134.30,135.30,1.00,0.234
MNJ001,141.30,142.30,1.00,0.100
MNJ001,142.30,143.30,1.00,0.004
MNJ001,143.30,144.30,1.00,0.004
MNJ001,144.30,145.30,1.00,0.006
MNJ001,145.30,146.30,1.00,0.001
MNJ001,146.30,147.30,1.00,0.136
MNJ001,147.30,148.30,1.00,0.003
MNJ001,153.30,154.30,1.00,0.042
MNJ001,204.80,205.80,1.00,0.139
MNJ001,205.80,206.80,1.00,0.102
MNJ001,206.80,207.80,1.00,0.032
MNJ001,207.80,208.80,1.00,0.004
MNJ001,208.80,209.80,1.00,0.097
MNJ001,209.80,210.80,1.00,0.023
MNJ001,210.80,211.80,1.00,0.042
MNJ001,211.80,212.80,1.00,0.086
MNJ001,212.80,213.80,1.00,0.062
MNJ001,213.80,214.80,1.00,0.076
MNJ001,214.80,215.80,1.00,0.313
MNJ001,221.30,221.80,0.50,0.01
MNJ001,221.80,222.30,0.50,0.002
MNJ001,222.30,222.80,0.50,0.063
MNJ001,222.80,223.30,0.50,0.001
MNJ001,223.30,223.80,0.50,0.002
MNJ001,223.80,224.30,0.50,0.027
MNJ001,224.30,224.80,0.50,1.432
MNJ001,224.80,225.30,0.50,0.034
MNJ001,225.30,225.80,0.50,0.015
MNJ001,225.80,226.30,0.50,0.001
MNJ001,226.30,226.80,0.50,0.001
MNJ001,226.80,227.30,0.50,0.001
MNJ001,227.30,227.80,0.50,0.001
MNJ001,234.30,234.80,0.50,0.008
MNJ001,234.80,235.30,0.50,0.006
MNJ001,235.30,235.80,0.50,0.253
MNJ001,235.80,236.30,0.50,0.025
MNJ001,236.30,236.80,0.50,0.004
MNJ001,236.80,237.30,0.50,0.017
MNJ001,237.30,237.80,0.50,0.004
MNJ001,237.80,238.30,0.50,0.048
MNJ001,238.30,238.80,0.50,0.001
MNJ001,238.80,239.30,0.50,0.049
MNJ001,239.30,239.80,0.50,0.022
MNJ001,239.80,240.30,0.50,0.246
MNJ001,240.30,240.80,0.50,3.529
MNJ001,240.80,241.30,0.50,1.161
MNJ001,241.30,241.80,0.50,0.907
MNJ001,241.80,242.30,0.50,0.428
MNJ001,242.30,242.80,0.50,0.235
MNJ001,242.80,243.30,0.50,0.056
MNJ001,243.30,243.80,0.50,0.13
MNJ001,243.80,244.30,0.50,0.086
MNJ001,244.30,244.80,0.50,0.077
MNJ001,244.80,245.30,0.50,0.026
