BHID,from_m,to_m,thickness_m,avg_Cu_pct,cutoff_Cu_pct
MHCM01,78.35,83.75,5.4,0.23,0.2
MHCM01,93.75,98.75,5,0.22,0.2
MHCM02,63.5,66.5,3,0.23,0.2
MHCM03,126.2,136.86,10.66,0.42,0.2
MHCM03,139.7,155.75,16.05,0.3,0.2
MHCM04,145.9,148.6,2.7,0.37,0.2
MHCM04,156,158,2,0.22,0.2
MHCM06,164.92,168,3.08,0.43,0.2
MHCM06,187.9,192.8,4.9,1.2,0.2
MHCM08,140.5,144,3.5,0.23,0.2
MHCM09,132.8,140.5,7.7,0.25,0.2
MHCM14,82.2,85.5,3.3,0.26,0.2
MHCM15,241,259,18,0.6,0.2
MNJ001,134.3,135.3,1,0.233898,0.2
MNJ001,214.8,215.8,1,0.313,0.2
MNJ001,221.3,224.8,3.5,0.2195714286,0.2
MNJ001,234.3,280.8,46.5,0.2606473118,0.2
MNJ001,291.3,296.3,5,0.2209,0.2
MNJ002,212.4,251.4,39,0.3022051282,0.2
MNJ003,290.4,316.4,26,0.2000192308,0.2
MNJ004,99,108,9,0.4199444444,0.2
MNJ004,235.3,237.3,2,0.2035,0.2
MNJ004,241.8,244.8,3,0.2081666667,0.2
MNJ004,253.3,270.8,17.5,0.2001428571,0.2
MNJ004,340.3,422.3,82,0.2021780488,0.2
MNJ004,437.3,439.3,2,0.203,0.2
MNJ005,68.4,69.4,1,0.205,0.2
MNJ005,72.9,78.4,5.5,0.2082727273,0.2
MNJ005,87.4,104.9,17.5,0.2000571429,0.2
MNJ005,109.9,111.4,1.5,0.2056666667,0.2
MNJ005,121.4,122.4,1,0.262,0.2
MNJ005,156.9,157.9,1,0.2255,0.2
MNJ005,161.4,162.4,1,0.203,0.2
MNJ005,186.9,190.4,3.5,0.2067142857,0.2
MNJ005,206.9,208.4,1.5,0.2206666667,0.2
MNJ005,217.9,224.4,6.5,0.2282923077,0.2
MNJ006,82.3,83.3,1,0.234,0.2
MNJ006,183.3,185.8,2.5,0.2056,0.2
MNJ006,187.3,190.3,3,0.2003333333,0.2
MNJ006,216.3,244.3,28,0.2002321429,0.2
MNJ006,271.3,272.3,1,0.2275,0.2
MNJ006,280.3,283.3,3,0.2068333333,0.2
MNJ007,239.8,241.3,1.5,0.212,0.2
MNJ007,244.3,245.3,1,0.2255,0.2
MNJ007,259.3,261.3,2,0.2005,0.2
MNJ007,265.3,268.8,3.5,0.2077142857,0.2
MNJ008,179.3,252.3,73,0.2000410959,0.2
MNJ009,270.3,271.3,1,0.2145,0.2
MNJ009,313.6,347.3,33.7,0.200379822,0.2
MNJ009,367,369.3,2.3,0.226,0.2
MNJ009,391.3,399.3,8,0.204375,0.2
MNJ010,159.3,209.3,50,0.20856,0.2
MNJ011,84.6,86.3,1.7,0.2094117647,0.2
MNJ011,157.3,158.3,1,0.21,0.2
MNJ011,187.8,189.3,1.5,0.2156666667,0.2
MNJ011,198.8,206.8,8,0.202375,0.2
MNJ011,212.3,263.6,51.3,0.2004463938,0.2
MNJ011,273.3,274.3,1,0.286,0.2
MNJ012,77.3,81.3,4,0.2,0.2
MNJ012,257.3,268.7,11.4,0.4546491228,0.2
MNJ012,346.3,351.8,5.5,0.21,0.2
MNJ012,370.3,397.9,27.6,0.2030797101,0.2
MNJ013,144.8,147.3,2.5,0.234,0.2
MNJ013,422.3,429.3,7,0.2035714286,0.2
MNJ014,134.8,135.8,1,0.2502775,0.2
MNJ014,216.3,217.8,1.5,0.213459,0.2
MNJ014,483.3,486.3,3,0.2189686667,0.2
MNJ014,529.3,531.3,2,0.221575,0.2
MNJ014,556.3,557.3,1,0.245,0.2
MNJ015,449.8,457.3,7.5,0.2089632,0.2
MNJ016,269.3,271.3,2,0.25525,0.2
MNJ016,315.3,323.8,8.5,0.2092352941,0.2
MNJ016,359.3,360.3,1,0.248,0.2
MNJ016,364.3,366.8,2.5,0.212,0.2
MNJ016,404.8,410.8,6,0.2020833333,0.2
MNJ016,439.3,441.3,2,0.211,0.2
MNJ016,454.3,465.3,11,0.2152272727,0.2
MNJ016,498.3,501.8,3.5,0.2244285714,0.2
MNJ016,505.3,507.8,2.5,0.2106,0.2
MNJ016,525.3,527.3,2,0.2105,0.2
MNJ017,134.3,139.3,5,0.21735,0.2
MNJ017,167.3,169.3,2,0.203975,0.2
MNJ017,193.8,195.3,1.5,0.2040333333,0.2
